Starting compute_accuracy with topN = 850
Sorted indices by anomaly score.
Top 850 indices after sorting:
idx[0] = 826, as[826] = 103259, attack[826] = 0
idx[51] = 473, as[473] = 86344.8, attack[473] = 0
idx[52] = 482, as[482] = 86226.3, attack[482] = 1
idx[53] = 481, as[481] = 86218.4, attack[481] = 1
idx[54] = 443, as[443] = 85997.9, attack[443] = 1
idx[55] = 448, as[448] = 85996.4, attack[448] = 0
idx[56] = 444, as[444] = 85988.8, attack[444] = 1
idx[57] = 446, as[446] = 85985.4, attack[446] = 0
idx[58] = 468, as[468] = 85728.4, attack[468] = 0
idx[59] = 474, as[474] = 85683.5, attack[474] = 0
idx[60] = 946, as[946] = 85596, attack[946] = 0
idx[61] = 586, as[586] = 85415.7, attack[586] = 0
idx[62] = 945, as[945] = 85250.9, attack[945] = 1
idx[63] = 953, as[953] = 85087.1, attack[953] = 0
idx[64] = 806, as[806] = 85071.1, attack[806] = 0
idx[65] = 424, as[424] = 84145, attack[424] = 1
idx[66] = 420, as[420] = 84124.1, attack[420] = 0
idx[67] = 467, as[467] = 83910.5, attack[467] = 0
idx[68] = 803, as[803] = 83368, attack[803] = 0
idx[69] = 617, as[617] = 83141.5, attack[617] = 1
idx[70] = 441, as[441] = 81782.2, attack[441] = 0
idx[71] = 853, as[853] = 81388, attack[853] = 0
idx[72] = 973, as[973] = 81365.8, attack[973] = 0
idx[73] = 519, as[519] = 80588.6, attack[519] = 0
idx[74] = 923, as[923] = 79983.3, attack[923] = 1
idx[75] = 811, as[811] = 78416.8, attack[811] = 1
idx[76] = 948, as[948] = 78413.1, attack[948] = 0
idx[77] = 321, as[321] = 77769.8, attack[321] = 0
idx[78] = 334, as[334] = 77765.6, attack[334] = 1
idx[79] = 335, as[335] = 77760.5, attack[335] = 1
idx[80] = 323, as[323] = 77740.9, attack[323] = 0
idx[81] = 305, as[305] = 77504.2, attack[305] = 1
idx[82] = 307, as[307] = 77501.8, attack[307] = 0
idx[83] = 313, as[313] = 77501.6, attack[313] = 0
idx[84] = 309, as[309] = 77468, attack[309] = 1
idx[85] = 276, as[276] = 77373.5, attack[276] = 0
idx[86] = 281, as[281] = 77371.7, attack[281] = 0
idx[87] = 277, as[277] = 77360.4, attack[277] = 1
idx[88] = 306, as[306] = 77350, attack[306] = 0
idx[89] = 298, as[298] = 77330.6, attack[298] = 1
idx[90] = 310, as[310] = 77077.4, attack[310] = 0
idx[91] = 855, as[855] = 76944.9, attack[855] = 0
idx[92] = 442, as[442] = 76913.8, attack[442] = 0
idx[93] = 302, as[302] = 76776.4, attack[302] = 0
idx[94] = 264, as[264] = 76467.7, attack[264] = 0
idx[95] = 263, as[263] = 76450, attack[263] = 0
idx[96] = 254, as[254] = 76439, attack[254] = 1
idx[97] = 324, as[324] = 75515.1, attack[324] = 0
idx[98] = 930, as[930] = 75480.1, attack[930] = 0
idx[99] = 588, as[588] = 75342.5, attack[588] = 0
idx[100] = 475, as[475] = 75109.3, attack[475] = 0
idx[101] = 274, as[274] = 74791.7, attack[274] = 0
idx[102] = 445, as[445] = 74759.7, attack[445] = 0
idx[103] = 283, as[283] = 74595.9, attack[283] = 0
idx[104] = 331, as[331] = 74522.4, attack[331] = 1
idx[105] = 325, as[325] = 74173.3, attack[325] = 0
idx[106] = 275, as[275] = 73962.6, attack[275] = 0
idx[107] = 977, as[977] = 73464.9, attack[977] = 1
idx[108] = 954, as[954] = 73199.1, attack[954] = 0
idx[109] = 330, as[330] = 73189.6, attack[330] = 1
idx[110] = 950, as[950] = 72881.7, attack[950] = 0
idx[111] = 308, as[308] = 72782.2, attack[308] = 0
idx[112] = 257, as[257] = 72188.5, attack[257] = 0
idx[113] = 259, as[259] = 71105.1, attack[259] = 0
idx[114] = 280, as[280] = 70734.8, attack[280] = 0
idx[115] = 658, as[658] = 70408, attack[658] = 1
idx[116] = 355, as[355] = 69971.8, attack[355] = 0
idx[117] = 258, as[258] = 69705.1, attack[258] = 0
idx[118] = 856, as[856] = 69329.2, attack[856] = 0
idx[119] = 159, as[159] = 69080.5, attack[159] = 0
idx[120] = 160, as[160] = 69080, attack[160] = 1
idx[121] = 162, as[162] = 69079.2, attack[162] = 0
idx[122] = 168, as[168] = 69076.7, attack[168] = 0
idx[123] = 153, as[153] = 69073.8, attack[153] = 0
idx[124] = 192, as[192] = 69042.5, attack[192] = 0
idx[125] = 322, as[322] = 68973.2, attack[322] = 0
idx[126] = 134, as[134] = 68922.1, attack[134] = 1
idx[127] = 108, as[108] = 68755.6, attack[108] = 0
idx[128] = 113, as[113] = 68752.9, attack[113] = 0
idx[129] = 118, as[118] = 68750.2, attack[118] = 0
idx[130] = 119, as[119] = 68749.7, attack[119] = 0
idx[131] = 120, as[120] = 68749.2, attack[120] = 0
idx[132] = 109, as[109] = 68601.6, attack[109] = 0
idx[133] = 84, as[84] = 68578.2, attack[84] = 0
idx[134] = 85, as[85] = 68577.5, attack[85] = 0
idx[135] = 86, as[86] = 68576.9, attack[86] = 0
idx[136] = 87, as[87] = 68576.3, attack[87] = 0
idx[137] = 88, as[88] = 68575.7, attack[88] = 0
idx[138] = 97, as[97] = 68570.3, attack[97] = 0
idx[139] = 105, as[105] = 68552.3, attack[105] = 0
idx[140] = 90, as[90] = 68531.4, attack[90] = 0
idx[141] = 89, as[89] = 68449.6, attack[89] = 0
idx[142] = 114, as[114] = 68363.6, attack[114] = 0
idx[143] = 116, as[116] = 68248.5, attack[116] = 0
idx[144] = 110, as[110] = 68241.7, attack[110] = 0
idx[145] = 112, as[112] = 68167.7, attack[112] = 0
idx[146] = 82, as[82] = 68060, attack[82] = 0
idx[147] = 336, as[336] = 67781.7, attack[336] = 1
idx[148] = 338, as[338] = 67621.4, attack[338] = 1
idx[149] = 841, as[841] = 67442.7, attack[841] = 0
idx[150] = 111, as[111] = 67304.9, attack[111] = 0
idx[151] = 256, as[256] = 67114.9, attack[256] = 0
idx[152] = 282, as[282] = 67000.5, attack[282] = 0
idx[153] = 638, as[638] = 66820.5, attack[638] = 0
idx[154] = 465, as[465] = 66498.2, attack[465] = 0
idx[155] = 927, as[927] = 66406.9, attack[927] = 1
idx[156] = 469, as[469] = 66336.1, attack[469] = 1
idx[157] = 860, as[860] = 66222.1, attack[860] = 1
idx[158] = 947, as[947] = 66204, attack[947] = 1
idx[159] = 837, as[837] = 65802.5, attack[837] = 0
idx[160] = 106, as[106] = 65685.9, attack[106] = 0
idx[161] = 183, as[183] = 65433.5, attack[183] = 1
idx[162] = 969, as[969] = 65091.4, attack[969] = 0
idx[163] = 129, as[129] = 64456, attack[129] = 0
idx[164] = 83, as[83] = 63363.8, attack[83] = 0
idx[165] = 350, as[350] = 63055.1, attack[350] = 0
idx[166] = 107, as[107] = 62890.6, attack[107] = 0
idx[167] = 816, as[816] = 62800.4, attack[816] = 1
idx[168] = 156, as[156] = 61892.3, attack[156] = 0
idx[169] = 780, as[780] = 61579.6, attack[780] = 0
idx[170] = 115, as[115] = 61535, attack[115] = 0
idx[171] = 326, as[326] = 60921.5, attack[326] = 0
idx[172] = 303, as[303] = 60883.4, attack[303] = 0
idx[173] = 253, as[253] = 60559.4, attack[253] = 0
idx[174] = 131, as[131] = 60125, attack[131] = 1
idx[175] = 91, as[91] = 60076.1, attack[91] = 0
idx[176] = 132, as[132] = 59852.4, attack[132] = 1
idx[177] = 866, as[866] = 59813.2, attack[866] = 0
idx[178] = 251, as[251] = 59771.5, attack[251] = 0
idx[179] = 278, as[278] = 59720, attack[278] = 0
idx[180] = 130, as[130] = 59709.5, attack[130] = 1
idx[181] = 978, as[978] = 59370.7, attack[978] = 0
idx[182] = 185, as[185] = 59323.9, attack[185] = 0
idx[183] = 279, as[279] = 58932.6, attack[279] = 0
idx[184] = 10, as[10] = 58767.2, attack[10] = 0
idx[185] = 11, as[11] = 58766.5, attack[11] = 0
idx[186] = 12, as[12] = 58765.9, attack[12] = 0
idx[187] = 13, as[13] = 58765.3, attack[13] = 0
idx[188] = 14, as[14] = 58764.6, attack[14] = 0
idx[189] = 665, as[665] = 58704.3, attack[665] = 1
idx[190] = 9, as[9] = 58585.6, attack[9] = 0
idx[191] = 161, as[161] = 58547.6, attack[161] = 1
idx[192] = 188, as[188] = 58367.7, attack[188] = 0
idx[193] = 157, as[157] = 57837.4, attack[157] = 0
idx[194] = 660, as[660] = 57826.6, attack[660] = 1
idx[195] = 1, as[1] = 57529.7, attack[1] = 0
idx[196] = 186, as[186] = 57091.2, attack[186] = 0
idx[197] = 187, as[187] = 56961, attack[187] = 0
idx[198] = 524, as[524] = 56339.6, attack[524] = 0
idx[199] = 929, as[929] = 55951.7, attack[929] = 1
idx[200] = 691, as[691] = 55563.6, attack[691] = 0
idx[201] = 513, as[513] = 55445.1, attack[513] = 0
idx[202] = 687, as[687] = 55175, attack[687] = 0
idx[203] = 955, as[955] = 54554.6, attack[955] = 1
idx[204] = 949, as[949] = 54484.8, attack[949] = 0
idx[205] = 449, as[449] = 54434.7, attack[449] = 0
idx[206] = 447, as[447] = 54433.1, attack[447] = 0
idx[207] = 154, as[154] = 54162.2, attack[154] = 0
idx[208] = 637, as[637] = 54153.6, attack[637] = 0
idx[209] = 352, as[352] = 53481.9, attack[352] = 1
idx[210] = 311, as[311] = 53334.5, attack[311] = 0
idx[211] = 255, as[255] = 53157.3, attack[255] = 1
idx[212] = 421, as[421] = 52928.4, attack[421] = 1
idx[213] = 661, as[661] = 52603.7, attack[661] = 1
idx[214] = 834, as[834] = 52098.6, attack[834] = 1
idx[215] = 931, as[931] = 51506.1, attack[931] = 0
idx[216] = 356, as[356] = 51247.6, attack[356] = 0
idx[217] = 189, as[189] = 50982.4, attack[189] = 0
idx[218] = 304, as[304] = 50857.1, attack[304] = 0
idx[219] = 300, as[300] = 50768, attack[300] = 0
idx[220] = 250, as[250] = 50031.9, attack[250] = 0
idx[221] = 284, as[284] = 49812.9, attack[284] = 0
idx[222] = 591, as[591] = 49707.3, attack[591] = 0
idx[223] = 852, as[852] = 48159.9, attack[852] = 0
idx[224] = 297, as[297] = 48012.8, attack[297] = 0
idx[225] = 155, as[155] = 47839.3, attack[155] = 0
idx[226] = 685, as[685] = 47791.4, attack[685] = 0
idx[227] = 831, as[831] = 47350.6, attack[831] = 0
idx[228] = 191, as[191] = 46310, attack[191] = 0
idx[229] = 301, as[301] = 46168.3, attack[301] = 0
idx[230] = 663, as[663] = 44463.4, attack[663] = 1
idx[231] = 133, as[133] = 43584.6, attack[133] = 1
idx[232] = 351, as[351] = 43550.7, attack[351] = 0
idx[233] = 136, as[136] = 42610.4, attack[136] = 1
idx[234] = 941, as[941] = 42279.6, attack[941] = 0
idx[235] = 176, as[176] = 41871.4, attack[176] = 0
idx[236] = 150, as[150] = 41239.3, attack[150] = 0
idx[237] = 328, as[328] = 40005.4, attack[328] = 1
idx[238] = 135, as[135] = 39798.8, attack[135] = 1
idx[239] = 181, as[181] = 39013.7, attack[181] = 0
idx[240] = 249, as[249] = 38633.7, attack[249] = 0
idx[241] = 859, as[859] = 37669.2, attack[859] = 0
idx[242] = 138, as[138] = 37550.2, attack[138] = 1
idx[243] = 314, as[314] = 37455.4, attack[314] = 0
idx[244] = 666, as[666] = 37451.9, attack[666] = 1
idx[245] = 163, as[163] = 37001.5, attack[163] = 0
idx[246] = 148, as[148] = 36961.1, attack[148] = 0
idx[247] = 184, as[184] = 36770.2, attack[184] = 0
idx[248] = 179, as[179] = 36287, attack[179] = 0
idx[249] = 273, as[273] = 36155.3, attack[273] = 1
idx[250] = 299, as[299] = 35506.1, attack[299] = 0
idx[251] = 521, as[521] = 35486.5, attack[521] = 0
idx[252] = 681, as[681] = 34385.4, attack[681] = 1
idx[253] = 158, as[158] = 34150.1, attack[158] = 0
idx[254] = 520, as[520] = 34060.3, attack[520] = 0
idx[255] = 952, as[952] = 33289.7, attack[952] = 0
idx[256] = 804, as[804] = 33288, attack[804] = 0
idx[257] = 178, as[178] = 32960, attack[178] = 0
idx[258] = 835, as[835] = 32624.2, attack[835] = 0
idx[259] = 361, as[361] = 32543.8, attack[361] = 0
idx[260] = 164, as[164] = 31622.2, attack[164] = 0
idx[261] = 832, as[832] = 31465.2, attack[832] = 0
idx[262] = 515, as[515] = 31143.6, attack[515] = 0
idx[263] = 137, as[137] = 31100.7, attack[137] = 1
idx[264] = 17, as[17] = 30949.7, attack[17] = 0
idx[265] = 165, as[165] = 30723.5, attack[165] = 0
idx[266] = 182, as[182] = 30678.9, attack[182] = 0
idx[267] = 139, as[139] = 29988.5, attack[139] = 1
idx[268] = 839, as[839] = 29492.2, attack[839] = 0
idx[269] = 924, as[924] = 28981.7, attack[924] = 0
idx[270] = 177, as[177] = 28920.3, attack[177] = 0
idx[271] = 353, as[353] = 27968, attack[353] = 0
idx[272] = 975, as[975] = 27954.9, attack[975] = 0
idx[273] = 252, as[252] = 27752.2, attack[252] = 1
idx[274] = 16, as[16] = 26457.8, attack[16] = 0
idx[275] = 522, as[522] = 26171.7, attack[522] = 1
idx[276] = 358, as[358] = 24940.7, attack[358] = 0
idx[277] = 180, as[180] = 24308.2, attack[180] = 0
idx[278] = 419, as[419] = 24178.8, attack[419] = 1
idx[279] = 329, as[329] = 23303.9, attack[329] = 1
idx[280] = 102, as[102] = 23174.3, attack[102] = 0
idx[281] = 689, as[689] = 22962.2, attack[689] = 0
idx[282] = 8, as[8] = 22587.7, attack[8] = 0
idx[283] = 878, as[878] = 22280.3, attack[878] = 0
idx[284] = 889, as[889] = 21489.5, attack[889] = 0
idx[285] = 805, as[805] = 21041.8, attack[805] = 1
idx[286] = 819, as[819] = 19939.8, attack[819] = 1
idx[287] = 266, as[266] = 19670.2, attack[266] = 0
idx[288] = 6, as[6] = 19397.3, attack[6] = 0
idx[289] = 294, as[294] = 19078, attack[294] = 0
idx[290] = 492, as[492] = 18439.6, attack[492] = 1
idx[291] = 922, as[922] = 18360.5, attack[922] = 0
idx[292] = 450, as[450] = 18175.9, attack[450] = 0
idx[293] = 869, as[869] = 17883.6, attack[869] = 0
idx[294] = 890, as[890] = 17709.4, attack[890] = 0
idx[295] = 861, as[861] = 17613.1, attack[861] = 1
idx[296] = 327, as[327] = 16917, attack[327] = 0
idx[297] = 190, as[190] = 16533.7, attack[190] = 0
idx[298] = 20, as[20] = 16345.7, attack[20] = 0
idx[299] = 470, as[470] = 16182.8, attack[470] = 0
idx[300] = 99, as[99] = 15848.9, attack[99] = 0
idx[301] = 117, as[117] = 15758.4, attack[117] = 0
idx[302] = 821, as[821] = 15658, attack[821] = 1
idx[303] = 15, as[15] = 15250.5, attack[15] = 1
idx[304] = 616, as[616] = 14512.7, attack[616] = 1
idx[305] = 596, as[596] = 14261.4, attack[596] = 1
idx[306] = 18, as[18] = 14236.7, attack[18] = 0
idx[307] = 686, as[686] = 13743.6, attack[686] = 0
idx[308] = 888, as[888] = 13698.2, attack[888] = 0
idx[309] = 170, as[170] = 13689.9, attack[170] = 0
idx[310] = 849, as[849] = 13665.1, attack[849] = 0
idx[311] = 824, as[824] = 13439.3, attack[824] = 0
idx[312] = 422, as[422] = 13391.8, attack[422] = 0
idx[313] = 332, as[332] = 13087.9, attack[332] = 1
idx[314] = 640, as[640] = 12559.8, attack[640] = 0
idx[315] = 418, as[418] = 12349, attack[418] = 0
idx[316] = 848, as[848] = 12170, attack[848] = 0
idx[317] = 417, as[417] = 12104, attack[417] = 1
idx[318] = 93, as[93] = 11877.2, attack[93] = 0
idx[319] = 976, as[976] = 11845.3, attack[976] = 0
idx[320] = 92, as[92] = 11756.7, attack[92] = 1
idx[321] = 872, as[872] = 11713.8, attack[872] = 0
idx[322] = 423, as[423] = 11648.7, attack[423] = 0
idx[323] = 684, as[684] = 11345, attack[684] = 0
idx[324] = 312, as[312] = 11049.1, attack[312] = 0
idx[325] = 620, as[620] = 10816.8, attack[620] = 1
idx[326] = 525, as[525] = 10772, attack[525] = 0
idx[327] = 346, as[346] = 10768.7, attack[346] = 0
idx[328] = 600, as[600] = 10762.4, attack[600] = 0
idx[329] = 647, as[647] = 10735, attack[647] = 0
idx[330] = 873, as[873] = 10488.9, attack[873] = 0
idx[331] = 1104, as[1104] = 10428.3, attack[1104] = 1
idx[332] = 0, as[0] = 10055.9, attack[0] = 0
idx[333] = 260, as[260] = 9958.81, attack[260] = 0
idx[334] = 169, as[169] = 9690.97, attack[169] = 0
idx[335] = 618, as[618] = 9355.41, attack[618] = 1
idx[336] = 171, as[171] = 9246.35, attack[171] = 0
idx[337] = 925, as[925] = 9136.51, attack[925] = 0
idx[338] = 295, as[295] = 8651.88, attack[295] = 0
idx[339] = 880, as[880] = 8410.72, attack[880] = 0
idx[340] = 354, as[354] = 8402.01, attack[354] = 0
idx[341] = 893, as[893] = 8027.41, attack[893] = 0
idx[342] = 863, as[863] = 7640.54, attack[863] = 1
idx[343] = 527, as[527] = 7470.35, attack[527] = 0
idx[344] = 585, as[585] = 7391.84, attack[585] = 0
idx[345] = 883, as[883] = 6937.4, attack[883] = 0
idx[346] = 871, as[871] = 6628.81, attack[871] = 0
idx[347] = 884, as[884] = 6489.99, attack[884] = 0
idx[348] = 857, as[857] = 6454.59, attack[857] = 0
idx[349] = 265, as[265] = 6363.89, attack[265] = 0
idx[350] = 518, as[518] = 6100.04, attack[518] = 0
idx[351] = 609, as[609] = 5590.11, attack[609] = 1
idx[352] = 652, as[652] = 5422.6, attack[652] = 0
idx[353] = 96, as[96] = 5172.56, attack[96] = 0
idx[354] = 921, as[921] = 5108.25, attack[921] = 0
idx[355] = 928, as[928] = 4960.26, attack[928] = 0
idx[356] = 597, as[597] = 4855.11, attack[597] = 1
idx[357] = 529, as[529] = 4821.99, attack[529] = 0
idx[358] = 862, as[862] = 4635.86, attack[862] = 0
idx[359] = 987, as[987] = 4565.44, attack[987] = 0
idx[360] = 932, as[932] = 4509.83, attack[932] = 0
idx[361] = 598, as[598] = 4260.47, attack[598] = 0
idx[362] = 533, as[533] = 4178.35, attack[533] = 0
idx[363] = 103, as[103] = 4082.04, attack[103] = 0
idx[364] = 601, as[601] = 4058.47, attack[601] = 1
idx[365] = 604, as[604] = 3796.77, attack[604] = 1
idx[366] = 882, as[882] = 3723.8, attack[882] = 0
idx[367] = 472, as[472] = 3647.73, attack[472] = 0
idx[368] = 151, as[151] = 3527.21, attack[151] = 0
idx[369] = 825, as[825] = 3506.86, attack[825] = 0
idx[370] = 951, as[951] = 3458.6, attack[951] = 0
idx[371] = 982, as[982] = 3271.85, attack[982] = 0
idx[372] = 476, as[476] = 3024.82, attack[476] = 0
idx[373] = 121, as[121] = 3001.74, attack[121] = 0
idx[374] = 285, as[285] = 2808.12, attack[285] = 1
idx[375] = 466, as[466] = 2749.75, attack[466] = 0
idx[376] = 690, as[690] = 2707.54, attack[690] = 0
idx[377] = 339, as[339] = 2596.99, attack[339] = 1
idx[378] = 607, as[607] = 2407.43, attack[607] = 0
idx[379] = 643, as[643] = 2368.51, attack[643] = 0
idx[380] = 347, as[347] = 2326.03, attack[347] = 0
idx[381] = 891, as[891] = 2309.29, attack[891] = 0
idx[382] = 983, as[983] = 2276.15, attack[983] = 0
idx[383] = 149, as[149] = 2276.1, attack[149] = 0
idx[384] = 641, as[641] = 2172.38, attack[641] = 0
idx[385] = 648, as[648] = 2131.41, attack[648] = 0
idx[386] = 603, as[603] = 2000, attack[603] = 1
idx[387] = 767, as[767] = 2000, attack[767] = 0
idx[388] = 796, as[796] = 2000, attack[796] = 1
idx[389] = 798, as[798] = 2000, attack[798] = 1
idx[390] = 1203, as[1203] = 2000, attack[1203] = 1
idx[391] = 1202, as[1202] = 2000, attack[1202] = 1
idx[392] = 1201, as[1201] = 2000, attack[1201] = 1
idx[393] = 1200, as[1200] = 2000, attack[1200] = 1
idx[394] = 1199, as[1199] = 2000, attack[1199] = 1
idx[395] = 1198, as[1198] = 2000, attack[1198] = 1
idx[396] = 1197, as[1197] = 2000, attack[1197] = 1
idx[397] = 1196, as[1196] = 2000, attack[1196] = 1
idx[398] = 1195, as[1195] = 2000, attack[1195] = 1
idx[399] = 1194, as[1194] = 2000, attack[1194] = 1
idx[400] = 1193, as[1193] = 2000, attack[1193] = 1
idx[401] = 1192, as[1192] = 2000, attack[1192] = 1
idx[402] = 1191, as[1191] = 2000, attack[1191] = 1
idx[403] = 1190, as[1190] = 2000, attack[1190] = 1
idx[404] = 1189, as[1189] = 2000, attack[1189] = 1
idx[405] = 1188, as[1188] = 2000, attack[1188] = 1
idx[406] = 1187, as[1187] = 2000, attack[1187] = 1
idx[407] = 1186, as[1186] = 2000, attack[1186] = 1
idx[408] = 1185, as[1185] = 2000, attack[1185] = 1
idx[409] = 1183, as[1183] = 2000, attack[1183] = 0
idx[410] = 1182, as[1182] = 2000, attack[1182] = 1
idx[411] = 1181, as[1181] = 2000, attack[1181] = 1
idx[412] = 1180, as[1180] = 2000, attack[1180] = 1
idx[413] = 1179, as[1179] = 2000, attack[1179] = 1
idx[414] = 1178, as[1178] = 2000, attack[1178] = 1
idx[415] = 1177, as[1177] = 2000, attack[1177] = 1
idx[416] = 1176, as[1176] = 2000, attack[1176] = 1
idx[417] = 1175, as[1175] = 2000, attack[1175] = 1
idx[418] = 1174, as[1174] = 2000, attack[1174] = 1
idx[419] = 1173, as[1173] = 2000, attack[1173] = 1
idx[420] = 1172, as[1172] = 2000, attack[1172] = 1
idx[421] = 1171, as[1171] = 2000, attack[1171] = 1
idx[422] = 1170, as[1170] = 2000, attack[1170] = 1
idx[423] = 1169, as[1169] = 2000, attack[1169] = 1
idx[424] = 1168, as[1168] = 2000, attack[1168] = 1
idx[425] = 425, as[425] = 2000, attack[425] = 0
idx[426] = 1167, as[1167] = 2000, attack[1167] = 1
idx[427] = 1166, as[1166] = 2000, attack[1166] = 1
idx[428] = 1165, as[1165] = 2000, attack[1165] = 1
idx[429] = 1164, as[1164] = 2000, attack[1164] = 1
idx[430] = 1163, as[1163] = 2000, attack[1163] = 1
idx[431] = 1162, as[1162] = 2000, attack[1162] = 1
idx[432] = 1161, as[1161] = 2000, attack[1161] = 1
idx[433] = 1159, as[1159] = 2000, attack[1159] = 0
idx[434] = 1158, as[1158] = 2000, attack[1158] = 1
idx[435] = 1157, as[1157] = 2000, attack[1157] = 1
idx[436] = 1156, as[1156] = 2000, attack[1156] = 1
idx[437] = 1155, as[1155] = 2000, attack[1155] = 1
idx[438] = 1154, as[1154] = 2000, attack[1154] = 1
idx[439] = 1153, as[1153] = 2000, attack[1153] = 1
idx[440] = 1152, as[1152] = 2000, attack[1152] = 1
idx[441] = 1151, as[1151] = 2000, attack[1151] = 1
idx[442] = 1150, as[1150] = 2000, attack[1150] = 1
idx[443] = 1149, as[1149] = 2000, attack[1149] = 1
idx[444] = 1148, as[1148] = 2000, attack[1148] = 1
idx[445] = 1147, as[1147] = 2000, attack[1147] = 1
idx[446] = 1146, as[1146] = 2000, attack[1146] = 1
idx[447] = 1145, as[1145] = 2000, attack[1145] = 1
idx[448] = 1144, as[1144] = 2000, attack[1144] = 1
idx[449] = 1143, as[1143] = 2000, attack[1143] = 1
idx[450] = 1142, as[1142] = 2000, attack[1142] = 1
idx[451] = 451, as[451] = 2000, attack[451] = 0
idx[452] = 452, as[452] = 2000, attack[452] = 0
idx[453] = 453, as[453] = 2000, attack[453] = 1
idx[454] = 454, as[454] = 2000, attack[454] = 1
idx[455] = 455, as[455] = 2000, attack[455] = 0
idx[456] = 456, as[456] = 2000, attack[456] = 0
idx[457] = 457, as[457] = 2000, attack[457] = 0
idx[458] = 458, as[458] = 2000, attack[458] = 0
idx[459] = 459, as[459] = 2000, attack[459] = 0
idx[460] = 460, as[460] = 2000, attack[460] = 0
idx[461] = 461, as[461] = 2000, attack[461] = 0
idx[462] = 1141, as[1141] = 2000, attack[1141] = 1
idx[463] = 1140, as[1140] = 2000, attack[1140] = 1
idx[464] = 1139, as[1139] = 2000, attack[1139] = 1
idx[465] = 1138, as[1138] = 2000, attack[1138] = 1
idx[466] = 1137, as[1137] = 2000, attack[1137] = 1
idx[467] = 366, as[366] = 2000, attack[366] = 0
idx[468] = 365, as[365] = 2000, attack[365] = 0
idx[469] = 364, as[364] = 2000, attack[364] = 0
idx[470] = 363, as[363] = 2000, attack[363] = 0
idx[471] = 362, as[362] = 2000, attack[362] = 0
idx[472] = 360, as[360] = 2000, attack[360] = 0
idx[473] = 359, as[359] = 2000, attack[359] = 0
idx[474] = 357, as[357] = 2000, attack[357] = 0
idx[475] = 349, as[349] = 2000, attack[349] = 0
idx[476] = 348, as[348] = 2000, attack[348] = 0
idx[477] = 477, as[477] = 2000, attack[477] = 0
idx[478] = 478, as[478] = 2000, attack[478] = 0
idx[479] = 479, as[479] = 2000, attack[479] = 0
idx[480] = 480, as[480] = 2000, attack[480] = 1
idx[481] = 345, as[345] = 2000, attack[345] = 0
